Controller Name,VAV Box ID.,System Name (Served By),Building,Area Served,Location,Public Space,Box Size (Height in.),Box Size (Width in.),Controller Part,Damper Type,Fan Type,Reheat Type,Cooling Max CFM,Cooling Min CFM,Heating Max CFM,Heating Min CFM,Absolute Min CFM,Occ Sensor Ena,Room Rh,Room CO2,Override Time (h),Reheat On Warmup,Fan On Warmup,Network ID,BACnet Object ID,BACnet Name,Box Coeff
VAV-02-13,VAV-2-13,AHU-02-01,2nd West,Room 1-231,Classroom 1-231,FALSE,12,0,SXWRPV510001,Round,None,SCR EH,1000,450,0,550,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd We_VAV_2_13,1891
VAV-02-14,VAV-2-14,AHU-02-01,2nd West,Room 1-251,Corridor 1-251,TRUE,6,0,SXWRPV510001,Round,None,2 Stage EH,250,100,0,200,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd We_VAV_2_14,448
VAV-02-15,VAV-2-15,AHU-02-01,2nd West,Room 1-288,Classroom 1-288,FALSE,10,0,SXWRPV510001,Round,None,SCR EH,1080,450,0,550,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd We_VAV_2_15,1436
VAV-02-16,VAV-2-16,AHU-02-01,2nd West,Room 1-288,Classroom 1-288,FALSE,6,0,SXWRPV510001,Round,None,2 Stage EH,300,100,0,200,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd We_VAV_2_16,448
VAV-02-17,VAV-2-17,AHU-02-02,2nd East,Room 1-225,Classroom 1-225,FALSE,10,0,SXWRPV510001,Round,None,SCR EH,1125,450,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd Ea_VAV_2_17,1436
VAV-02-18,VAV-2-18,AHU-02-02,2nd East,Room 1-223,Skills Lab 1-223,FALSE,10,0,SXWRPV510001,Round,None,SCR EH,950,450,0,550,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd Ea_VAV_2_18,1436
VAV-02-19,VAV-2-19,AHU-02-02,2nd East,Room 1-203,Resource 1-203,FALSE,6,0,SXWRPV510001,Round,None,2 Stage EH,480,250,0,250,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd Ea_VAV_2_19,448
VAV-02-20,VAV-2-20,AHU-02-02,2nd East,Room 1-204,Classroom 1-204,FALSE,12,0,SXWRPV510001,Round,None,SCR EH,1310,450,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd Ea_VAV_2_20,1891
VAV-02-21,VAV-2-21,AHU-02-02,2nd East,Room 1-208,Classroom 1-208,FALSE,12,0,SXWRPV510001,Round,None,SCR EH,1310,450,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd Ea_VAV_2_21,1891
VAV-02-22,VAV-2-22,AHU-02-02,2nd East,Room 1-210,Classroom 1-210,FALSE,12,0,SXWRPV510001,Round,None,SCR EH,1145,400,0,550,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd Ea_VAV_2_22,1891
VAV-02-23,VAV-2-23,AHU-02-02,2nd East,Room 1-212,Classroom 1-212,FALSE,10,0,SXWRPV510001,Round,None,SCR EH,1195,450,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd Ea_VAV_2_23,1436
VAV-02-24,VAV-2-24,AHU-02-02,2nd East,Room 1-216,Classroom 1-216,FALSE,10,0,SXWRPV510001,Round,None,SCR EH,1195,450,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd Ea_VAV_2_24,1436
VAV-02-25,VAV-2-25,AHU-02-02,2nd East,Room 1-219,Classroom 1-219,FALSE,10,0,SXWRPV510001,Round,None,SCR EH,1130,400,0,550,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd Ea_VAV_2_25,1436
VAV-02-26,VAV-2-26,AHU-02-02,2nd East,Room 1-251,Corridor 1-251,TRUE,6,0,SXWRPV510001,Round,None,1 Stage EH,150,100,0,100,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd Ea_VAV_2_26,448
VAV-02-27,VAV-2-27,AHU-02-02,2nd East,Room 1-251,Corridor 1-251,TRUE,10,0,SXWRPV510001,Round,None,2 Stage EH,1110,300,0,350,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd Ea_VAV_2_27,1436
VAV-02-28,VAV-2-28,AHU-02-02,2nd East,Room 1-220,Classroom 1-220,FALSE,10,0,SXWRPV510001,Round,None,SCR EH,1160,450,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd Ea_VAV_2_28,1436
VAV-02-29,VAV-2-29,AHU-02-02,2nd East,Room 1-224,Classroom 1-224,FALSE,10,0,SXWRPV510001,Round,None,SCR EH,1175,450,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd Ea_VAV_2_29,1436
VAV-02-30,VAV-2-30,AHU-02-02,2nd East,Room 1-226,Classroom 1-226,FALSE,10,0,SXWRPV510001,Round,None,SCR EH,1090,450,0,550,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd Ea_VAV_2_30,1436
VAV-02-31,VAV-2-31,AHU-02-01,2nd West,Room 1-252,Resource 1-252,FALSE,8,0,SXWRPV510001,Round,None,2 Stage EH,540,250,0,300,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd We_VAV_2_31,904
VAV-02-32,VAV-2-32,AHU-02-02,2nd East,Room 1-213A,Systems 1-213A,FALSE,6,0,SXWRPV510001,Round,None,None,400,400,0,400,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd Ea_VAV_2_32,448
VAV-02-33,VAV-2-33,AHU-02-01,2nd West,Room 1-240,Systems 1-240,FALSE,6,0,SXWRPV510001,Round,None,None,400,400,0,400,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd We_VAV_2_33,448
