Controller Name,VAV Box ID.,System Name (Served By),Building,Area Served,Public Space,Location,Controller Part,Box Size (Height in.),Box Size (Width in.),Damper Type,Fan Type,Reheat Type,Cooling Max CFM,Cooling Min CFM,Heating Max CFM,Heating Min CFM,Absolute Min CFM,Occ Sensor Ena,Room Rh,Room CO2,Override Time (h),Reheat On Warmup,Fan On Warmup,Network ID,BACnet Object ID,BACnet Name,Box Coeff
VAV 2-20 ,64,AHU 2-2,Second Northwest,Intermediate Classroom 1-223,FALSE, 1-223 ,,10,0,Round,None,SCR EH,1250,465,0,1250,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2_20 ,1523
VAV 2-21 ,65,AHU 2-2,Second Northwest,Intermediate Classroom 1-225,FALSE, 1-225 ,,10,0,Round,None,SCR EH,1100,465,0,1100,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2_21 ,1523
VAV 2-22 ,66,AHU 2-2,Second Northwest,Intermediate Classroom 1-240,FALSE,1-240,,10,0,Round,None,SCR EH,1250,465,0,1250,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2_22 ,1523
VAV 2-23 ,67,AHU 2-2,Second Northwest,Intermediate Classroom 1-224,FALSE, 1-224 ,,10,0,Round,None,SCR EH,1250,465,0,1250,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2_23 ,1523
VAV 2-24 ,68,AHU 2-2,Second Northwest,Intermediate Classroom 1-226,FALSE, 1-226 ,,10,0,Round,None,SCR EH,1100,465,0,1100,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2_24 ,1523
VAV 2-25 ,69,AHU 2-2,Second Northwest,Small Group Resource 1-238,FALSE, 1-238 ,,10,0,Round,None,SCR EH,900,300,0,900,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2—25 ,1523
VAV 2-26 ,70,AHU 2-2,Second Northwest,Intermediate Classroom 1-239,FALSE, 1-239 ,,10,0,Round,None,SCR EH,1250,465,0,1250,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2—26 ,1523
VAV 2-27 ,71,AHU 2-2,Second Northwest,Intermediate Classroom 1-227,FALSE, 1-227 ,,10,0,Round,None,SCR EH,1250,465,0,1250,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2_27 ,1523
VAV 2-28 ,72,AHU 2-2,Second Northwest,Electrical 1-233,FALSE, 1-233 ,,6,0,Round,None,None,450,225,0,450,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2_28 ,517
VAV 2-29 ,73,AHU 2-2,Second Northwest,Intermediate Classroom 1-236,FALSE, 1-236 ,,10,0,Round,None,SCR EH,1250,465,0,1250,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2_29 ,1523
VAV 2-30 ,74,AHU 2-2,Second Northwest,Intermediate Classroom 1-228,FALSE, 1-228 ,,12,0,Round,None,SCR EH,1350,465,0,1350,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2_30 ,2120
VAV 2-31 ,75,AHU 2-2,Second Northwest,Corridor,TRUE, 1-262 ,,10,0,Round,None,SCR EH,800,100,0,800,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2_31 ,1523
VAV 2-32 ,76,AHU 2-2,Second Northwest,Intermediate Classroom 1-229,FALSE, 1-229 ,,10,0,Round,None,SCR EH,1250,465,0,1250,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2_32 ,1523
VAV 2-33 ,77,AHU 2-2,Second Northwest,Intermediate Classroom 1-230,FALSE, 1-230 ,,10,0,Round,None,SCR EH,1250,465,0,1250,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2_33 ,1523
VAV 2-34 ,78,AHU 2-2,Second Northwest,Intermediate Classroom 1-234,FALSE, 1-234 ,,10,0,Round,None,SCR EH,1250,465,0,1250,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2—34 ,1523
VAV 2-35 ,79,AHU 2-2,Second Northwest,Intermediate Classroom 1-235,FALSE, 1-235 ,,12,0,Round,None,SCR EH,1350,465,0,1350,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2—35 ,2120
VAV 2-36 ,80,AHU 2-1,Second Southeast,Lobby 1-200,TRUE,1-262,,6,0,Round,None,2 Stage EH,400,100,0,400,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2_36 ,517
VAV 2-37 ,81,AHU 2-1,Second Southeast,Systems 1-210A,FALSE, 1-210A ,,6,0,Round,None,None,400,100,0,400,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2_37 ,517
VAV 2-38 ,82,AHU 2-2,Second Northwest,Systems 1-232,FALSE, 1-232 ,,6,0,Round,None,None,400,100,0,400,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2_38 ,517
